timestamp,CPU load in % for core FSP-1254
2017-06-21T16:39:29.483006Z,2.5
2017-06-21T16:39:30.483006Z,2.5
2017-06-21T16:39:31.483006Z,2.5
2017-06-21T16:39:26.330009Z,1.37
2017-06-21T16:39:27.330008Z,1.36
0001-01-01T00:00:07.335002Z,0.0
0001-01-01T00:00:08.335000Z,1.35
0001-01-01T00:00:09.335005Z,1.54
0001-01-01T00:00:10.335006Z,1.38
0001-01-01T00:00:11.335001Z,1.37
2017-06-21T16:39:07.330009Z,1.37
2017-06-21T16:39:08.330008Z,1.37
2017-06-21T16:39:09.330009Z,1.37
2017-06-21T16:39:10.330008Z,1.38
2017-06-21T16:39:11.330008Z,1.37
2017-06-21T16:39:12.330008Z,1.37
2017-06-21T16:39:13.330009Z,1.36
2017-06-21T16:39:14.330009Z,1.38
2017-06-21T16:39:15.330008Z,1.38
2017-06-21T16:39:16.330009Z,1.38
2017-06-21T16:39:37.483006Z,2.5
2017-06-21T16:39:38.483006Z,2.5
2017-06-21T16:39:39.483005Z,2.5
2017-06-21T16:39:40.483008Z,2.6
2017-06-21T16:39:41.483007Z,2.7
2017-06-21T16:39:42.483007Z,2.7
2017-06-21T16:39:43.483007Z,2.7
2017-06-21T16:39:44.483007Z,2.7
2017-06-21T16:39:45.483007Z,2.7
2017-06-21T16:39:46.483007Z,2.7
2017-06-21T16:39:47.483007Z,2.7
2017-06-21T16:39:48.483007Z,2.7
2017-06-21T16:39:49.483006Z,2.7
2017-06-21T16:39:50.483006Z,2.7
2017-06-21T16:39:51.483006Z,2.7
2017-06-21T16:39:52.483007Z,2.7
2017-06-21T16:39:53.483008Z,2.7
2017-06-21T16:39:54.483008Z,2.7
2017-06-21T16:39:55.483009Z,2.8
2017-06-21T16:39:56.483008Z,2.9
0001-01-01T00:00:11.202753Z,1.36
0001-01-01T00:00:12.202746Z,1.37
0001-01-01T00:00:13.202746Z,1.36
0001-01-01T00:00:14.202746Z,1.37
0001-01-01T00:00:15.202746Z,1.37
0001-01-01T00:00:16.202746Z,1.36
0001-01-01T00:00:17.202746Z,1.37
0001-01-01T00:00:18.202746Z,1.37
0001-01-01T00:00:19.202746Z,1.37
0001-01-01T00:00:20.202746Z,1.37
2017-06-21T16:39:19.330008Z,1.37
2017-06-21T16:39:20.330008Z,1.38
2017-06-21T16:39:21.330009Z,1.38
2017-06-21T16:39:22.330009Z,1.38
2017-06-21T16:39:23.330008Z,1.38
2017-06-21T16:39:24.330008Z,1.38
