timestamp,CPU load in % for core FSP-1231
2017-06-21T16:39:29.692006Z,2.6
2017-06-21T16:39:30.692005Z,2.6
2017-06-21T16:39:26.330009Z,1.38
2017-06-21T16:39:27.692007Z,1.5
0001-01-01T00:00:07.402390Z,0.0
0001-01-01T00:00:08.402387Z,1.34
0001-01-01T00:00:09.402395Z,1.54
0001-01-01T00:00:10.402388Z,1.37
0001-01-01T00:00:11.402387Z,1.38
2017-06-21T16:39:07.330008Z,1.38
2017-06-21T16:39:08.330009Z,1.38
2017-06-21T16:39:09.330008Z,1.37
2017-06-21T16:39:10.330008Z,1.36
2017-06-21T16:39:11.330008Z,1.38
2017-06-21T16:39:12.330008Z,1.38
2017-06-21T16:39:13.330008Z,1.37
2017-06-21T16:39:14.330008Z,1.38
2017-06-21T16:39:15.330008Z,1.37
2017-06-21T16:39:16.330008Z,1.38
2017-06-21T16:39:36.692006Z,2.7
2017-06-21T16:39:37.692005Z,2.7
2017-06-21T16:39:38.692006Z,2.6
2017-06-21T16:39:39.692008Z,2.8
2017-06-21T16:39:40.692007Z,2.9
2017-06-21T16:39:41.692007Z,2.8
2017-06-21T16:39:42.692007Z,2.9
2017-06-21T16:39:43.692007Z,2.9
2017-06-21T16:39:44.692007Z,2.9
2017-06-21T16:39:45.692006Z,2.9
2017-06-21T16:39:46.692006Z,2.9
2017-06-21T16:39:47.692006Z,2.8
2017-06-21T16:39:48.692006Z,2.9
2017-06-21T16:39:49.692006Z,2.9
2017-06-21T16:39:50.692007Z,2.9
2017-06-21T16:39:51.692006Z,2.8
2017-06-21T16:39:52.692006Z,2.8
2017-06-21T16:39:53.692007Z,2.8
2017-06-21T16:39:54.692006Z,2.9
2017-06-21T16:39:55.692007Z,3.8
2017-06-21T16:39:56.692006Z,3.8
0001-01-01T00:00:11.271008Z,1.37
0001-01-01T00:00:12.271001Z,1.37
0001-01-01T00:00:13.271001Z,1.38
0001-01-01T00:00:14.271001Z,1.36
0001-01-01T00:00:15.271001Z,1.37
0001-01-01T00:00:16.271001Z,1.37
0001-01-01T00:00:17.271001Z,1.37
0001-01-01T00:00:18.271001Z,1.38
0001-01-01T00:00:19.271001Z,1.38
0001-01-01T00:00:20.271001Z,1.37
2017-06-21T16:39:19.330008Z,1.38
2017-06-21T16:39:20.330008Z,1.38
2017-06-21T16:39:21.330009Z,1.38
2017-06-21T16:39:22.330009Z,1.38
2017-06-21T16:39:23.330008Z,1.38
2017-06-21T16:39:24.330008Z,1.37
